wikidata_id,name,category,coordinates,image_url,country,wikipedia_url
Q27596,Kisangani Bangoka International Airport,airports,Point(25.338056 0.481667),http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9D%D0%B0%D1%86%D1%96%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9%20%D0%BA%D0%BE%D0%BD%D1%82%D0%B8%D0%BD%D0%B3%D0%B5%D0%BD%D1%82%20%D1%83%20%D0%94%D0%A0%20%D0%9A%D0%BE%D0%BD%D0%B3%D0%BE%20%D0%BE%D1%82%D1%80%D0%B8%D0%BC%D0%B0%D0%B2%20%D0%BD%D0%BE%D0%B2%D1%83%20%D0%B2%D0%B5%D1%80%D1%82%D0%BE%D0%BB%D1%96%D1%82%D0%BD%D1%83%20%D1%82%D0%B5%D1%85%D0%BD%D1%96%D0%BA%D1%83%20%2831860558211%29.jpg,Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Kisangani_Bangoka_International_Airport
Q27706,Hamburg Airport,airports,Point(9.988227777 53.630388888),http://commons.wikimedia.org/wiki/Special:FilePath/Hamburg%20airport%20terminals.jpg,Germany,https://en.wikipedia.org/wiki/Hamburg_Airport
Q28461,Sialkot International Airport,airports,Point(74.363888888 32.535555555),http://commons.wikimedia.org/wiki/Special:FilePath/Sialkot%20Airport.jpg,Pakistan,https://en.wikipedia.org/wiki/Sialkot_International_Airport
Q28934,Brussels Airport,airports,Point(4.484444444 50.901388888),http://commons.wikimedia.org/wiki/Special:FilePath/Brussels%20Airport%20Runway%2025%20R.jpg,Belgium,https://en.wikipedia.org/wiki/Brussels_Airport
Q29104,Velana International Airport,airports,Point(73.529111 4.191833),http://commons.wikimedia.org/wiki/Special:FilePath/Hulele-airport.jpg,Maldives,https://en.wikipedia.org/wiki/Velana_International_Airport
Q17581,Sydney Airport,airports,Point(151.1761111 -33.948333333),http://commons.wikimedia.org/wiki/Special:FilePath/Sydney%20airport%20-%20International%20terminal.jpg,Australia,https://en.wikipedia.org/wiki/Sydney_Airport
Q17609,Darwin International Airport,airports,Point(130.876666666 -12.414722222),http://commons.wikimedia.org/wiki/Special:FilePath/Aircraft%20Waiting%20to%20Cross%20Runway%201129%20at%20Darwin%20Airport%20in%20March%202012.jpg,Australia,https://en.wikipedia.org/wiki/Darwin_International_Airport
Q17609,Darwin International Airport,airports,Point(130.876666666 -12.414722222),http://commons.wikimedia.org/wiki/Special:FilePath/Darwin%20Airport%20Apron%20and%20Civil%20Terminal%20in%20March%202012.jpg,Australia,https://en.wikipedia.org/wiki/Darwin_International_Airport
Q17609,Darwin International Airport,airports,Point(130.876666666 -12.414722222),http://commons.wikimedia.org/wiki/Special:FilePath/Darwin%20International%20Airport%20terminal.jpg,Australia,https://en.wikipedia.org/wiki/Darwin_International_Airport
Q17609,Darwin International Airport,airports,Point(130.876666666 -12.414722222),http://commons.wikimedia.org/wiki/Special:FilePath/New%20Darwin%20Airport%20Terminal%20opening%20in%20December%201991.jpg,Australia,https://en.wikipedia.org/wiki/Darwin_International_Airport
Q17609,Darwin International Airport,airports,Point(130.876666666 -12.414722222),http://commons.wikimedia.org/wiki/Special:FilePath/RAAF%20Darwin%20control%20tower.jpg,Australia,https://en.wikipedia.org/wiki/Darwin_International_Airport
Q25060,Oued Irara–Krim Belkacem Airport,airports,Point(6.140556 31.673889),http://commons.wikimedia.org/wiki/Special:FilePath/HassiMessaoudIntArrivals.jpg,Algeria,https://en.wikipedia.org/wiki/Oued_Irara%E2%80%93Krim_Belkacem_Airport
Q25226,Cam Ranh International Airport,airports,Point(109.219444444 11.998055555),http://commons.wikimedia.org/wiki/Special:FilePath/Cam%20Ranh%20International%20Airport%20Terminal%202.jpg,Vietnam,https://en.wikipedia.org/wiki/Cam_Ranh_International_Airport
Q28461,Sialkot International Airport,airports,Point(74.363888888 32.535555555),http://commons.wikimedia.org/wiki/Special:FilePath/Sialkot%20Airport.jpg,Pakistan,https://en.wikipedia.org/wiki/Sialkot_International_Airport
Q94895,Baltimore/Washington International Thurgood Marshall Airport,airports,Point(-76.6675418 39.1782209),http://commons.wikimedia.org/wiki/Special:FilePath/BWI%20aerial2.jpg,United States,https://en.wikipedia.org/wiki/Baltimore/Washington_International_Airport
Q99172,Václav Havel Airport Prague,airports,Point(14.26 50.100833333),http://commons.wikimedia.org/wiki/Special:FilePath/PRG%20Ruzyne%20airport%20view%208971b.jpg,Czech Republic,https://en.wikipedia.org/wiki/V%C3%A1clav_Havel_Airport_Prague
