wikidata_id,name,category,image_url,country,wikipedia_url,latitude,longitude,description
Q647777,Lençóis Maranhenses National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Len%C3%A7%C3%B3is%20Maranhenses%202018.jpg,Brazil,https://en.wikipedia.org/wiki/Len%C3%A7%C3%B3is_Maranhenses_National_Park,-2.483333333,-43.133333333,"national park in northeastern Brazil, known for its rolling dunes and fresh water lagoons"
Q2844,Brasília,cities,http://commons.wikimedia.org/wiki/Special:FilePath/Planalto%20Central%20%28cropped%29.jpg,Brazil,https://en.wikipedia.org/wiki/Bras%C3%ADlia,-15.793888888,-47.882777777,federal capital of Brazil
Q8678,Rio de Janeiro,cities,http://commons.wikimedia.org/wiki/Special:FilePath/Cidade%20Maravilhosa.jpg,Brazil,https://en.wikipedia.org/wiki/Rio_de_Janeiro,-22.911111111,-43.205555555,"city of Rio de Janeiro state, Brazil"
Q127172,Sede do BankBoston,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Bank%20Boston%20-%20sede%20%27.JPG,Brazil,https://en.wikipedia.org/wiki/Sede_do_BankBoston,-23.617078,-46.699192,skyscraper
Q169420,Edifício Altino Arantes,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Edif%C3%ADcio%20do%20Banespa%20%28cropped%29.jpg,Brazil,https://en.wikipedia.org/wiki/Altino_Arantes_Building,-23.545675,-46.6341,"skyscraper in São Paulo, Brazil"
Q170610,Edifício Itália,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Edif%C3%ADcio%20It%C3%A1lia%2C%20SP.jpg,Brazil,https://en.wikipedia.org/wiki/Edif%C3%ADcio_It%C3%A1lia,-23.545417,-46.643611,"skyscraper in São Paulo, Brazil"
Q492112,Andraus Building,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/30-12-2008%20017.%28By%20Felipe%20Mostarda%29.JPG,Brazil,https://en.wikipedia.org/wiki/Andraus_Building,-23.54150833,-46.64236111,skyscraper
Q510575,Estádio José Fragelli,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Verdao%20-Cuiaba%20-%20August%202009.jpg,Brazil,https://en.wikipedia.org/wiki/Verd%C3%A3o,-15.595333333,-56.098666666,"former stadium in Cuiabá, Brazil"
Q570404,"Estádio Luiz Viana Filho, Itabuna",stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Itabuna%20Estadio%20Itabunao.jpg,Brazil,,-14.808403712,-39.278887532,
Q606803,Arena da Baixada,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Arena%20-%20Vista%20da%20Bas%C3%ADlio%20Itiber%C3%AA.jpg,Brazil,https://en.wikipedia.org/wiki/Arena_da_Baixada,-25.448333,-49.276944,"football stadium in Curitiba, Paraná"
Q155174,Maracanã Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Maracana%202022.jpg,Brazil,https://en.wikipedia.org/wiki/Maracan%C3%A3_Stadium,-22.912166666,-43.230163888,"stadium in Rio de Janeiro, Brazil"
Q337224,Brazilian Academy of Letters,museums,http://commons.wikimedia.org/wiki/Special:FilePath/Academia%20brasileira%20de%20letras%201.JPG,Brazil,https://en.wikipedia.org/wiki/Brazilian_Academy_of_Letters,-22.910833333,-43.173055555,Brazilian literary non-profit society
Q371803,Ipiranga Museum,museums,http://commons.wikimedia.org/wiki/Special:FilePath/Museo%20Paulista%20desde%20el%20aire%2001%20%28cropped%29.jpg,Brazil,https://en.wikipedia.org/wiki/Museu_do_Ipiranga,-23.58542,-46.60974,"history museum of São Paulo state, Brazil"
Q10386017,Q10386017,space,http://commons.wikimedia.org/wiki/Special:FilePath/T%C3%BAnel%20Velho%20%28Copacabana%29.jpg,Brazil,,-22.96236111,-43.19122222,
Q10386047,Túnel Zuzu Angel,space,http://commons.wikimedia.org/wiki/Special:FilePath/T%C3%BAnel%20Zuzu%20Angel%20%283808579211%29.jpg,Brazil,,-22.99083,-43.24308,
Q1978239,Rio de Janeiro Stock Exchange,markets,http://commons.wikimedia.org/wiki/Special:FilePath/Bolsa%20de%20rio%20de%20janeiro.jpg,Brazil,https://en.wikipedia.org/wiki/Rio_de_Janeiro_Stock_Exchange,-22.9023,-43.17412,"Stock exchange located in Rio de Janeiro, Brazil"
Q368672,Peter Island,islands,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Island%2C%20BVI.jpg,British Virgin Islands,https://en.wikipedia.org/wiki/Peter_Island,18.355852777,-64.571072222,island of British Virgin Islands
