wikidata_id,name,category,image_url,country,wikipedia_url,latitude,longitude
Q153625,Simpson Tower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Simpson%20Tower.JPG,Canada,https://en.wikipedia.org/wiki/Simpson_Tower,43.652,-79.3812
Q156198,Messeturm,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Frankfurt%20am%20Main%2C%20MesseTurm.jpg,Germany,https://en.wikipedia.org/wiki/Messeturm,50.112222222,8.652777777
Q164877,1000 de La Gauchetière,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Edifice%201000%20de%20La%20Gauchetiere%2C%20Montreal%2015.jpg,Canada,https://en.wikipedia.org/wiki/1000_de_La_Gaucheti%C3%A8re,45.4982,-73.5663
Q165506,101 Collins Street,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/AUS%20Melbourne%2C%20Central%20Business%20District%2C%20Princes%20Bridge%2C%20View%20002.jpg,Australia,https://en.wikipedia.org/wiki/101_Collins_Street,-37.815,144.970777777
Q166882,Istanbul Sapphire,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Istanbul%20Sapphire%2002.jpg,Turkey,https://en.wikipedia.org/wiki/Istanbul_Sapphire,41.085,29.005833333
Q167195,Post Tower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Posttower%20Bonn%20001.jpg,Germany,https://en.wikipedia.org/wiki/Post_Tower,50.715512,7.130037
Q167566,Palace of Culture and Science,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Pa%C5%82ac%20Kultury%20i%20Nauki%202019.jpg,Poland,https://en.wikipedia.org/wiki/Palace_of_Culture_and_Science,52.231666666,21.006388888
Q167870,Boardwalk Hotel and Casino,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Boarwalkhotellv.jpg,United States,https://en.wikipedia.org/wiki/Boardwalk_Hotel_and_Casino,36.106666666,-115.174166666
Q168575,CTF Finance Centre,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Guangzhou%20CTF%20Finance%20Centre%2002-10-2018.jpg,People's Republic of China,https://en.wikipedia.org/wiki/Guangzhou_CTF_Finance_Centre,23.12027778,113.32055556
Q169420,Edifício Altino Arantes,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Edif%C3%ADcio%20do%20Banespa%20%28cropped%29.jpg,Brazil,https://en.wikipedia.org/wiki/Altino_Arantes_Building,-23.545675,-46.6341
Q170442,111 South Wacker Drive,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/111%20south%20wacker%20chicago.jpg,United States,https://en.wikipedia.org/wiki/111_South_Wacker_Drive,41.8803,-87.6375
Q170441,111 Huntington Avenue,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/111HuntingtonBoston.jpg,United States,https://en.wikipedia.org/wiki/111_Huntington_Avenue,42.3468,-71.0814
Q170610,Edifício Itália,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Edif%C3%ADcio%20It%C3%A1lia%2C%20SP.jpg,Brazil,https://en.wikipedia.org/wiki/Edif%C3%ADcio_It%C3%A1lia,-23.545417,-46.643611
Q172402,120 Collins Street,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/120CollinsSt.jpg,Australia,https://en.wikipedia.org/wiki/120_Collins_Street,-37.813833333,144.9695
Q172408,120 Wall Street,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/120%20Wall%20Street%202.jpg,United States,https://en.wikipedia.org/wiki/120_Wall_Street,40.70476,-74.00597
Q172811,1221 Avenue of the Americas,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/McGraw-Hill%20Building%20Rock%20Center%20by%20David%20Shankbone.jpg,United States,https://en.wikipedia.org/wiki/1221_Avenue_of_the_Americas,40.759166666,-73.981666666
Q173454,1250 René-Lévesque,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/1250RLevesque.jpg,Canada,https://en.wikipedia.org/wiki/1250_Ren%C3%A9-L%C3%A9vesque,45.4973,-73.5704
Q173498,Exxon Building,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/1251%20Avenue%20of%20the%20Americas.JPG,United States,https://en.wikipedia.org/wiki/1251_Avenue_of_the_Americas,40.76,-73.9814
Q175182,Frick Building,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/FrickBuildingPittsburgh.jpg,United States,https://en.wikipedia.org/wiki/Frick_Building,40.439166666,-79.9975
Q176278,Montevideo,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Rotterdam%20montevideotoren.jpg,Netherlands,https://en.wikipedia.org/wiki/Montevideo_(Rotterdam),51.903611,4.485556
