wikidata_id,name,category,image_url,country,wikipedia_url,latitude,longitude
Q245720,Stadio Danilo Martelli,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Stadio%20Danilo%20Martelli%20Mantova%202025%2001.jpg,Italy,https://en.wikipedia.org/wiki/Stadio_Danilo_Martelli,45.146111,10.794167
Q247420,Dodger Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Dodger%20Stadium.jpg,United States,https://en.wikipedia.org/wiki/Dodger_Stadium,34.073611111,-118.24
Q252812,Estadio Ganzábal,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Estadio%20Ganz%C3%A1bal.jpg,Spain,https://en.wikipedia.org/wiki/Estadio_Ganz%C3%A1bal,43.30197222,-5.68984167
Q254877,Campo de Ciudad Lineal,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Ciudad%20Lineal-Vel%C3%B3dromo.jpg,Spain,https://en.wikipedia.org/wiki/Campo_de_Ciudad_Lineal,40.4501,-3.6532
Q259307,Hidegkuti Nándor Stadion,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/MTK%20stadion%20-%20l%C3%A9gi%20fot%C3%B3.jpg,Hungary,https://en.wikipedia.org/wiki/Hidegkuti_N%C3%A1ndor_Stadion,47.490919444,19.106725
Q259637,Estadio Román Suárez Puerta,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Avil%C3%A9s%2C%20Estadio%20Rom%C3%A1n%20Su%C3%A1rez%20Puerta.JPG,Spain,https://en.wikipedia.org/wiki/Estadio_Rom%C3%A1n_Su%C3%A1rez_Puerta,43.5575,-5.9306
Q260530,Nobeoka Nishishina Athletic Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Nishishina%20Stadium%201.JPG,Japan,https://en.wikipedia.org/wiki/Nobeoka_Nishishina_Athletic_Stadium,32.570556,131.640556
Q262291,Providence Park,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Providence%20Park%20New%20Overhang.jpg,United States,https://en.wikipedia.org/wiki/Providence_Park,45.521388888,-122.691666666
Q262326,Lotto Park,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Constant%20Vanden%20Stockstadion%2C%20Anderlecht.jpg,Belgium,https://en.wikipedia.org/wiki/Constant_Vanden_Stock_Stadium,50.834167,4.298333
Q262526,Daegu Civic Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/DaeguCivil%20stadium2.JPG,South Korea,https://en.wikipedia.org/wiki/Daegu_Civic_Stadium,35.881253,128.588231
Q263035,Káposztás Street Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/K%C3%A1poszt%C3%A1s%20utcai%20Stadion%202025%20No5.jpg,Hungary,https://en.wikipedia.org/wiki/K%C3%A1poszt%C3%A1s_utcai_Stadion,47.69171,16.583691
Q268402,Petr Atoyan Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A1%D1%82%D0%B0%D0%B4%D0%B8%D0%BE%D0%BD%20%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8%20%D0%9F%D0%B5%D1%82%D1%80%D0%B0%20%D0%90%D1%82%D0%BE%D1%8F%D0%BD%D0%B0.jpg,Kazakhstan,https://en.wikipedia.org/wiki/Petr_Atoyan_Stadium,51.211944,51.350833
Q271454,Estádio do Dragão,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Est%C3%A1dio%20do%20Drag%C3%A3o%20%288468978586%29.jpg,Portugal,https://en.wikipedia.org/wiki/Est%C3%A1dio_do_Drag%C3%A3o,41.161758,-8.583933
Q271568,Stadio Luigi Ferraris,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Autumn%20Nations%20Series%20%2722-%20Italia%20vs%20Sudafrica-954%20%2852519137176%29.jpg,Italy,https://en.wikipedia.org/wiki/Stadio_Luigi_Ferraris,44.416431,8.952428
Q276354,Mas Monumental Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/RiverPlateStadium.jpg,Argentina,https://en.wikipedia.org/wiki/Estadio_Monumental_(Buenos_Aires),-34.545277777,-58.449722222
Q280141,Estadio Tomás Adolfo Ducó,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Huracan%20palacio%20duco.jpg,Argentina,https://en.wikipedia.org/wiki/Estadio_Tom%C3%A1s_Adolfo_Duc%C3%B3,-34.643494,-58.396511
Q281180,Hjørring Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Sara%20Thrige%2C%20Fortuna%20Hj%C3%B8rring%20i%20kamp%20mod%20Olympique%20Lyon%20i%20UEFA%20Women%27s%20Champions%20League.jpg,Denmark,https://en.wikipedia.org/wiki/Hj%C3%B8rring_Stadium,57.4577062,9.9984598
Q282533,Helong Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Helong%20Stadium.jpg,People's Republic of China,https://en.wikipedia.org/wiki/Helong_Sports_Center_Stadium,28.181756,112.977303
Q283849,Mohammed Bin Zayed Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/IRN-YMN%2020190107%20Asian%20Cup%204.jpg,United Arab Emirates,https://en.wikipedia.org/wiki/Mohammed_bin_Zayed_Stadium,24.452764,54.392019
Q285074,Bosuilstadion,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/20110720%20bosuil.jpg,Belgium,https://en.wikipedia.org/wiki/Bosuilstadion,51.232222,4.471667
Q285531,Al Janoub Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/28%2010%202019%20Visita%20ao%20est%C3%A1dio%20de%20futebol%20Al%20Janoub%20%2848977932316%29.jpg,Qatar,https://en.wikipedia.org/wiki/Al_Janoub_Stadium,25.159777777,51.574083333
Q285983,Al-Shaab Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Al-Shaab%20Stadium%20%2825%29.JPG,Iraq,https://en.wikipedia.org/wiki/Al-Shaab_Stadium,33.324906,44.435438
Q286614,Yamato Sports Center Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Yamato%20Sports%20Center%20Stadium%2C%20Kanagawa%2C%20Japan.%202010-09-20.jpg,Japan,https://en.wikipedia.org/wiki/Yamato_Sports_Center_Stadium,35.475,139.462778
Q287359,Estádio José Alvalade,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Est%C3%A1dio%20Jos%C3%A9%20Alvalade%20antes%20do%20jogo%20Sporting%20-%20Arouca.jpg,Portugal,https://en.wikipedia.org/wiki/Est%C3%A1dio_Jos%C3%A9_Alvalade,38.761194444,-9.160783333
Q287770,Lal Bahadur Shastri Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Lal%20Bahadur%20Shastri%20Stadium.jpg,India,"https://en.wikipedia.org/wiki/Lal_Bahadur_Shastri_Stadium,_Hyderabad",17.399333,78.473333
Q288618,Baba Yara Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Baba%20Yara%20Sports%20Stadium%20in%20Kumasi.jpg,Ghana,https://en.wikipedia.org/wiki/Baba_Yara_Stadium,6.682681,-1.605111
Q297924,Örjans Vall,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%96rjans%20vall.jpg,Sweden,https://en.wikipedia.org/wiki/%C3%96rjans_Vall,56.684166666,12.866388888
Q298585,Oracle Park,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/AT%26T%20Park%20July%2024%2C%202016.jpg,United States,https://en.wikipedia.org/wiki/Oracle_Park,37.778333333,-122.389444444
Q306006,Abbasiyyin Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Destroyed%20Abbasiyyin%20Stadium%202.jpg,Syria,https://en.wikipedia.org/wiki/Abbasiyyin_Stadium,33.52286,36.32004
Q310525,Lanxess Arena,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/K%C3%B6ln%20deutz%20k%C3%B6lnarena.jpg,Germany,https://en.wikipedia.org/wiki/Lanxess_Arena,50.93843,6.9829
Q312411,Eden Park,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Eden%20Park%20at%20Dusk%2C%202013.jpg,New Zealand,https://en.wikipedia.org/wiki/Eden_Park,-36.875277777,174.745
Q314983,Wedaustadion,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Unversiade%20DU89%2001.jpg,Germany,https://en.wikipedia.org/wiki/Wedaustadion,51.409033,6.778664
Q322258,Chiemgau-Arena,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Skisprungschanzen%20Chiemgau%20Arena%20Ruhpolding.JPG,Germany,,47.7144,12.6475
