wikidata_id,name,category,coordinates,image_url,country,wikipedia_url,sitelinks
Q162843,Negev,deserts,Point(34.916666666 30.5),http://commons.wikimedia.org/wiki/Special:FilePath/Negev-2005-1.JPG,Israel,https://en.wikipedia.org/wiki/Negev,96
Q132956,Taklamakan,deserts,Point(82.2 38.9),http://commons.wikimedia.org/wiki/Special:FilePath/Taklamakan-d43.jpg,People's Republic of China,https://en.wikipedia.org/wiki/Taklamakan_Desert,90
Q172702,Karakum Desert,deserts,Point(60.0 39.0),http://commons.wikimedia.org/wiki/Special:FilePath/MAKarakum6.jpg,Russian Empire,https://en.wikipedia.org/wiki/Karakum_Desert,90
Q131377,Namib,deserts,Point(15.0 -23.0),http://commons.wikimedia.org/wiki/Special:FilePath/Namib%20Desert%20surface.jpg,Namibia,https://en.wikipedia.org/wiki/Namib,89
Q172691,Thar Desert,deserts,Point(71.001666666 26.984444444),http://commons.wikimedia.org/wiki/Special:FilePath/Thar%20desert%20Rajasthan%20India.jpg,Pakistan,https://en.wikipedia.org/wiki/Thar_Desert,82
Q118388,Death Valley,deserts,Point(-116.865280555 36.456938888),http://commons.wikimedia.org/wiki/Special:FilePath/Badwater%20Desolation.jpg,United States,https://en.wikipedia.org/wiki/Death_Valley,79
Q145165,Great Victoria Desert,deserts,Point(129.259722222 -29.152222222),http://commons.wikimedia.org/wiki/Special:FilePath/Australia.A2002231.0145.250m%20NASA%20Nullarbor.jpg,Australia,https://en.wikipedia.org/wiki/Great_Victoria_Desert,77
Q208299,Arabian Desert,deserts,Point(42.368055555 18.267222222),http://commons.wikimedia.org/wiki/Special:FilePath/Arabian%20Desert%20-%20panoramio.jpg,United Arab Emirates,https://en.wikipedia.org/wiki/Arabian_Desert,73
Q184364,Kyzyl Kum,deserts,Point(63.461388888 42.441111111),http://commons.wikimedia.org/wiki/Special:FilePath/Dzhangeldy%20Uzbekistan%202008.JPG,Turkmenistan,https://en.wikipedia.org/wiki/Kyzylkum_Desert,71
Q184355,Mojave Desert,deserts,Point(-115.475 35.008333333),http://commons.wikimedia.org/wiki/Special:FilePath/Calico%20basin%20red%20rock%20cumulus%20mediocris.jpg,United States,https://en.wikipedia.org/wiki/Mojave_Desert,70
